TIMESTEP,SID1003MEAN(mm),SID1003MINIMUM(mm),SID1003MAXIMUM(mm),SID1003VARIANCE(mm^2),SID1003STD_DEV(mm),SID1003SUM,SID1003COUNT
1903-02-01T00:00:00Z,0.8466757,0,99.8,38.286842,6.1876364,10038.188,10571
1903-03-01T00:00:00Z,77.159256,0,461.4,10540.916,102.66896,10038.188,10571
1903-04-01T00:00:00Z,22.146833,0,498.1,5694.8984,75.46455,10038.188,10571
1903-05-01T00:00:00Z,17.892221,0,1083.8,10082.562,100.41196,10038.188,10571
1903-06-01T00:00:00Z,1.096014,0,715.3,459.5987,21.438253,10038.188,10571
1903-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1903-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1903-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1903-10-01T00:00:00Z,0.060039174,0,66.8,3.242142,1.8005948,10038.188,10571
1903-11-01T00:00:00Z,298.01627,0,1014.3,43745.445,209.15411,10038.188,10571
1903-12-01T00:00:00Z,3.4811964,0,147.90001,170.2342,13.047383,10038.188,10571
1904-01-01T00:00:00Z,112.86471,0,653.60004,17567.406,132.54208,10038.188,10571
1904-02-01T00:00:00Z,436.2086,0,1009.3,51691.61,227.35788,10038.188,10571
1904-03-01T00:00:00Z,446.44226,0,1095.6,54716.508,233.9156,10038.188,10571
1904-04-01T00:00:00Z,36.27716,0,619.2,11515.868,107.31201,10038.188,10571
1904-05-01T00:00:00Z,25.34335,0,1115.5,15242.759,123.46157,10038.188,10571
1904-06-01T00:00:00Z,2.00857,0,942.60004,1094.1932,33.07859,10038.188,10571
1904-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1904-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1904-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1904-10-01T00:00:00Z,0.009464113,0,18.6,0.10960901,0.3310725,10038.188,10571
1904-11-01T00:00:00Z,30.981604,0,303.5,2378.434,48.76919,10038.188,10571
1904-12-01T00:00:00Z,154.41089,0,513.3,14758.017,121.482574,10038.188,10571
1905-01-01T00:00:00Z,25.612741,0,208.90001,1690.1504,41.11144,10038.188,10571
1905-02-01T00:00:00Z,0.26654354,0,92.5,13.52699,3.6779058,10038.188,10571
1905-03-01T00:00:00Z,91.424385,0,622.9,9830.401,99.14838,10038.188,10571
1905-04-01T00:00:00Z,0.835831,0,425.4,242.532,15.573439,10038.188,10571
1905-05-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1905-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1905-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1905-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1905-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1905-10-01T00:00:00Z,0.033475585,0,75.5,0.7553201,0.8690915,10038.188,10571
1905-11-01T00:00:00Z,4.5016403,0,227.3,254.70906,15.959607,10038.188,10571
1905-12-01T00:00:00Z,31.591602,0,279.80002,2212.0393,47.032322,10038.188,10571
1906-01-01T00:00:00Z,48.21322,0,231,3198.6912,56.556973,10038.188,10571
1906-02-01T00:00:00Z,159.71228,0,650.8,20652.916,143.71123,10038.188,10571
1906-03-01T00:00:00Z,21.341463,0,294.5,1792.6772,42.34002,10038.188,10571
1906-04-01T00:00:00Z,2.7242665,0,519.3,801.4414,28.30974,10038.188,10571
1906-05-01T00:00:00Z,0.6813744,0,428.4,168.34619,12.97483,10038.188,10571
1906-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1906-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1906-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1906-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1906-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1906-11-01T00:00:00Z,21.566637,0,337.80002,2013.3105,44.86993,10038.188,10571
1906-12-01T00:00:00Z,73.280876,0,286.7,5146.63,71.74001,10038.188,10571
1907-01-01T00:00:00Z,58.378513,0,359.2,5845.45,76.45554,10038.188,10571
1907-02-01T00:00:00Z,151.1975,0,561.2,19908.578,141.09776,10038.188,10571
1907-03-01T00:00:00Z,120.80863,0,453.6,10316.431,101.56983,10038.188,10571
1907-04-01T00:00:00Z,46.717697,0,681.3,15020.613,122.55861,10038.188,10571
1907-05-01T00:00:00Z,8.591787,0,952.3,4074.6255,63.832794,10038.188,10571
1907-06-01T00:00:00Z,0.07665069,0,173,8.977463,2.9962413,10038.188,10571
1907-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1907-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1907-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1907-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1907-11-01T00:00:00Z,0.2417293,0,96,11.560743,3.4001093,10038.188,10571
1907-12-01T00:00:00Z,256.7448,0,738.3,30277.49,174.00429,10038.188,10571
1908-01-01T00:00:00Z,10.360234,0,162.1,618.8338,24.87637,10038.188,10571
1908-02-01T00:00:00Z,4.3932986,0,100.5,188.48979,13.729158,10038.188,10571
1908-03-01T00:00:00Z,17.404161,0,332.6,2449.4468,49.491886,10038.188,10571
1908-04-01T00:00:00Z,8.510237,0,526.2,2226.8896,47.18993,10038.188,10571
1908-05-01T00:00:00Z,1.9865073,0,628.2,822.3638,28.676886,10038.188,10571
1908-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1908-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1908-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1908-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1908-10-01T00:00:00Z,6.15622,0,257.5,475.74664,21.811617,10038.188,10571
1908-11-01T00:00:00Z,10.810088,0,261.30002,689.74176,26.262936,10038.188,10571
1908-12-01T00:00:00Z,11.509422,0,178.5,679.68677,26.070803,10038.188,10571
1909-01-01T00:00:00Z,525.64655,0,1163.7001,67440.36,259.6928,10038.188,10571
1909-02-01T00:00:00Z,183.92595,0,618.4,18261.299,135.13437,10038.188,10571
1909-03-01T00:00:00Z,20.010029,0,298,2586.16,50.8543,10038.188,10571
